"Include";"Name";"DataType";"Realization";"Description";"ExampleValue";"Terminology"
"Yes";"HeartRate";"";"";"Het gaat om de observatie en het vastleggen van de hartslag van een persoon.

--DCM::Language=nl

This is about the observation and documentation of the heart rate of a person.";"";"SCT:364075005 heart rate"
"Required";"  Frequency";"Physical Quantity";"";"De mechanische hartslag - aantal slagen per minuut

--DCM::Language=nl 

The mechanics of the heart rate: number of beats per minute";"";"LOINC:code 8867-4 displayName heart rate
SCT:364075005 heart rate"
"Required";"  Rhythm";"Coded Description";"";"Interpretatie van het ritme van de hartslag.


Interpretation of the rhythm of the heart rate.";"";"SCT:301149000 Pulse rhythm"
"";"";"";"Bigeminal pulse";"Twee hartslagen snel achter elkaar, ieder tweetal is gescheiden door een langere interval.

Double beats with intervening gap";"";"SCT:195103000 bigeminal pulse"
"";"";"";"Bisferiens";"Een pols met twee systole pieken.

Pulse with two systolic peaks";"";"SCT:415216000 pulses bisferiens"
"";"";"";"Extra-systole";"Een zwakke slag wordt gevolgd door een krachtige slag.

A weak beat is followed by a strong beat";"";"SCT:284470004 premature atrial contraction"
"";"";"";"Irregulair";"De hartslag is onreglmatig";"";"SCT:248650006 heart irregular"
"";"";"";"Palpitation";"Patient is zich bewust van het kloppen van zijn eigen hart.

Being aware of the beating of one's own heart";"";"SCT:80313002 palpitations"
"";"";"";"Pulsus alternans";"Krachtige en zwakke slagen wisselen elkaar af.

Strong and weak beats alternate";"";"SCT:42807005 pulsus alternans"
"";"";"";"Pulsus irregularis perpetuus";"De pols is totaal irregulair en inequaal.

Pulse is completely irregular and unequal";"";"SCT:271638000 pulse regularly irregular"
"";"";"";"Regular";"De hartslag is regelmatig.

Regular heart beat";"";"SCT:248649006 heart regular"
"";"";"";"Trigeminal pulse";"Een pauze na iedere derde hartslag.

Triple beats with intervening gap 
.";"";"SCT:29036000 trigeminal pulse"
"Required";"  Strength";"Coded Description";"";"The power with which the blood is pumped through the heart and arteries. This is subtle different from the filling. It is not the peak volume, but the volume increase / decrease per time unit. 

--DCM::Language=nl


De kracht waarmee het bloed door het hart door de aderen wordt gepompt. Dit is subtiel anders dan de vulling. Het gaat hier niet om het peikvolume, maar om de volumestijging/-daling per tijdseenheid.";"";"Parelsnoer:3.4 Strength"
"";"";"";"Normal";"The strength is normal

De slagkracht is normaal";"";"Parelsnoer:3.1 Normal"
"";"";"";"Strong";"The strength is strong

De slagkracht is groot";"";"Parelsnoer:3.2 Strong"
"";"";"";"Weak";"The strength is weak

De slagkracht is klein";"";"Parelsnoer:3.3 Weak"
"Required";"  Location";"Coded Description";"";"Plaats op het lichaam waar de hartslag wordt gemeten.

The location where the heart rate is measured.";"";"SCT:363704007 procedure site"
"";"";"";"Arteria brachialis";"";"";"SCT:17137000 brachial artery"
"";"";"";"Arteria carotis";"";"";"SCT:69105007 carotid artery"
"";"";"";"Arteria carotis externa";"";"";"SCT:22286001 external carotid artery"
"";"";"";"Arteria dorsalis pedis";"";"";"SCT:86547008 dorsalis pedis artery"
"";"";"";"Arteria femoralis";"";"";"SCT:181349008 superficial femoral artery"
"";"";"";"Arteria poplitea";"";"";"SCT:43899006 popliteal artery"
"";"";"";"Arteria radialis";"";"";"SCT:45631007 radial artery"
"";"";"";"Arteria subclavia";"";"";"SCT:36765005 subclavian artery"
"";"";"";"Arteria temporalis";"";"";"SCT:15672000 superficial temporal artery"
"";"";"";"Arteria tibialis";"";"";"SCT:181351007 tibial artery"
"";"";"";"Arteria tibialis posterior";"";"";"SCT:181358001 posterior tibial artery"
"";"";"";"Fontanel (baby)";"";"";"SCT:272681004 fontanelle"
